
Tracing route to edge-term4-sea1.roblox.com [128.116.115.3]
over a maximum of 15 hops:

  1     6 ms     5 ms     5 ms  192.168.68.1 
  2     *        *        *     Request timed out.
  3    19 ms    19 ms    14 ms  10.128.41.41 
  4    19 ms    17 ms    21 ms  10.128.17.246 
  5     *       18 ms    18 ms  10.128.137.54 
  6     *        *       51 ms  10.128.4.190 
  7     *       47 ms    51 ms  10.128.4.17 
  8    49 ms    50 ms    53 ms  50.248.117.237 
  9    52 ms    47 ms    48 ms  96.110.34.134 
 10     *        *        *     Request timed out.
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13    50 ms    47 ms    54 ms  128.116.115.3 

Trace complete.
