
Tracing route to edge-term4-sea1.roblox.com [128.116.115.3]
over a maximum of 15 hops:

  1     5 ms     6 ms     6 ms  192.168.68.1 
  2     *        *        *     Request timed out.
  3    21 ms    16 ms    16 ms  10.128.41.41 
  4    20 ms    15 ms    18 ms  10.128.17.246 
  5     *        *        *     Request timed out.
  6     *        *        *     Request timed out.
  7    52 ms     *        *     10.128.4.17 
  8    46 ms    47 ms    45 ms  50.248.117.237 
  9    45 ms    47 ms    47 ms  96.110.34.134 
 10     *        *        *     Request timed out.
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13    50 ms    45 ms    60 ms  128.116.115.3 

Trace complete.
