
Tracing route to edge-term4-sea1.roblox.com [128.116.115.3]
over a maximum of 15 hops:

  1     7 ms     7 ms     7 ms  192.168.68.1 
  2     *        *        *     Request timed out.
  3    22 ms    15 ms    15 ms  10.128.41.41 
  4    16 ms    14 ms    14 ms  10.128.17.246 
  5     *        *        *     Request timed out.
  6     *        *       50 ms  10.128.4.190 
  7    46 ms    46 ms    45 ms  10.128.4.17 
  8    47 ms    49 ms    47 ms  50.248.117.237 
  9    47 ms    45 ms    48 ms  96.110.34.134 
 10     *        *        *     Request timed out.
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13     *        *        *     Request timed out.
 14     *        *        *     Request timed out.
 15     *        *        *     Request timed out.

Trace complete.
