
Tracing route to edge-term4-sea1.roblox.com [128.116.115.3]
over a maximum of 15 hops:

  1     1 ms     1 ms     1 ms  192.168.68.1 
  2    40 ms    42 ms    46 ms  10.5.0.1 
  3    42 ms    41 ms    41 ms  193.29.61.3 
  4    44 ms    46 ms    40 ms  72.29.198.69 
  5     *        *        *     Request timed out.
  6     *        *        *     Request timed out.
  7     *        *        *     Request timed out.
  8     *        *        *     Request timed out.
  9     *       43 ms    46 ms  128.116.115.3 

Trace complete.
