
Tracing route to edge-term4-sea1.roblox.com [128.116.115.3]
over a maximum of 15 hops:

  1     6 ms     6 ms     6 ms  192.168.68.1 
  2     *        *        *     Request timed out.
  3    16 ms    14 ms    19 ms  10.128.41.41 
  4    20 ms    32 ms    15 ms  10.128.17.246 
  5    18 ms    21 ms    29 ms  10.128.137.54 
  6     *        *       47 ms  10.128.4.190 
  7     *       46 ms    57 ms  10.128.4.17 
  8    47 ms    51 ms    55 ms  50.248.117.237 
  9    49 ms    51 ms    47 ms  96.110.34.134 
 10     *        *        *     Request timed out.
 11     *        *        *     Request timed out.
 12     *        *        *     Request timed out.
 13     *        *        *     Request timed out.
 14     *        *        *     Request timed out.
 15     *        *        *     Request timed out.

Trace complete.
