
Tracing route to edge-term4-sea1.roblox.com [128.116.115.3]
over a maximum of 15 hops:

  1     2 ms     1 ms     2 ms  192.168.68.1 
  2    42 ms    44 ms    46 ms  10.5.0.1 
  3    40 ms    40 ms    44 ms  193.29.61.2 
  4    45 ms    41 ms    44 ms  62.115.155.16 
  5    47 ms    41 ms    42 ms  195.12.254.197 
  6    57 ms    49 ms    46 ms  4.53.153.78 
  7     *        *        *     Request timed out.
  8     *        *        *     Request timed out.
  9    46 ms    43 ms    42 ms  128.116.115.3 

Trace complete.
